RNC,Zone,Issue,Date,,,,
Q321004999-1,31,1,3,,,,
Q321005016-1,34,3,3,,,,
Q321005038-1,MTS,1,3,,,,
Q321005052-1,4,8,3,,,,
Q321005062-2,31,2,3,,,,
Q321005088-1,33,3,3,,,,
Q321005099-1,34,7,3,,,,
Q321005128-1,2,2,3,,,,
Q321005130-1,2,2,3,,,,
Q321005147-1,2,3,3,,,,
Q321005154-1,32,6,3,,,,
Q321005169-1,2,2,3,,,,
Q321005170-1,2,2,3,,,,
Q321005171-1,2,2,3,,,,
Q321005172-1,2,2,3,,,,
Q321005173-1,2,2,3,,,,
Q321005176-1,4,9,3,,,,
Q321005177-1,MTS,1,3,,,,
Q321005184-1,33,2,3,,,,
Q321005209-1,2,1,3,,,,
Q321005210-1,2,2,3,,,,
Q321005211-1,2,2,3,,,,
Q321005212-1,2,2,3,,,,
Q321005213-1,2,2,3,,,,
Q321005214-1,2,2,3,,,,
Q321005220-1,2,3,3,,,,
Q321005227-1,34,3,3,,,,
Q321005268-1,4,1,3,,,,
Q321005270-1,4,1,3,,,,
Q321005270-2,4,1,3,,,,
Q321005286-1,MTS,1,3,,,,
Q321005292-1,34,1,3,,,,
Q321005292-2,34,3,3,,,,
Q321005292-5,34,1,3,,,,
Q321005292-6,34,1,3,,,,
Q321005295-2,34,3,3,,,,
Q321005295-3,34,1,3,,,,
Q321005295-4,34,3,3,,,,
Q321005298-1,33,3,3,,,,
Q321005304-1,MTS,4,3,,,,
Q321005327-1,34,1,3,,,,
Q321005331-1,31,5,3,,,,
Q321005356-1,4,1,3,,,,
Q321005367-1,34,7,3,,,,
Q321005374-1,32,3,3,,,,
Q321005382-1,31,1,3,,,,
Q321005387-1,31,1,3,,,,
Q321005395-1,34,7,3,,,,
Q321005403-1,4,4,3,,,,
Q321005404-1,34,1,3,,,,
Q321005407-1,4,3,3,,,,
Q321005418-1,1,2,3,,,,
Q321005455-1,34,3,3,,,,
Q321005486-1,32,9,3,,,,
Q321005488-1,32,9,3,,,,
Q321005489-1,32,9,3,,,,
Q321005490-1,32,9,3,,,,
Q321005497-1,4,2,3,,,,
Q321005509-1,31,1,3,,,,
Q321005509-2,31,1,3,,,,
Q321005509-3,31,1,3,,,,
Q321005534-1,34,7,3,,,,
Q321005551-1,1,1,3,,,,
Q321005573-1,31,2,3,,,,
